AOK Alfeld;102214013;;;;;;31061;Alfeld;Walter Gropius Ring 1;31041;Alfeld;Postfach 1151;;;;;102114819;;;
AOK Altötting/Mühldorf;108516486;;;;;;84453;Mühldorf;Töginger Strasse 9;84446;Mühldorf;Postfach 449;;;;;108310400;;;
AOK Amberg;108916618;;;;;;92224;Amberg;Raigerringer-Str. 18;92201;Amberg;Postfach 1152;;;;;108310400;;;
AOK Aschendorf-Hümmling;101814518;;;;;;26871;Papenburg;Wiek rechts 1;26851;Papenburg;Postfach 1161;;;;;102114819;;;
AOK Augsburg;109116714;;;;;;86150;Augsburg;Prinzregentenplatz 1;;;;86134;Augsburg;;;108310400;;;
AOK Bad Reichenhall;108516419;;;;;;83435;Bad Reichenhall;Wittelsbacherstr. 8;83424;Bad Reichenhall;Postfach 2240;;;;;108310400;;;
AOK Bad Tölz;108516420;;;;;;83646;Bad Tölz;Jahnstrasse 6;83632;Bad Töz;Postfach 1260;;;;;108310400;;;
AOK Baden-Württemberg;108018007;;;;;;70191;Stuttgart;Presselstr. 19;;;;;;;;108018007;555;da@dta.aok.de;
AOK Bamberg;108616513;;;;;;96052;Bamberg;Pödeldorfer Str. 75;96001;Bamberg;Postfach 1020;;;;;108310400;;;
AOK Bayerwald;109016314;;;;;;94209;Regen;Bahnhofstrasse 33-37;94201;Regen;Postfach 1109;;;;;108310400;;;
AOK Bayreuth Kulmbach;108616524;;;;;;95444;Bayreuth;Friedrich-Puchta-Str. 27;95401;Bayreuth;Postfach 100153;;;;;108310400;;;
AOK Bodensee-Oberschwaben;107815749;;;;;;88212;Ravensburg;Charlottenstr. 49;;;;;;;;108018007;;;
AOK Bodensee-Oberschwaben;107815807;;;;;;88212;Ravensburg;Charlottenstr. 49;;;;;;;;107815749;;;
AOK Bramsche;102514072;;;;;;49565;Bramsche;Marktstrasse 5;49551;Bramsche;Postfach 1151;;;;;102114819;;;
AOK Braunschweiger Land;101914085;;;;;;38100;Braunschweig;Am Fallersleber Tore 3/4;38022;Braunschweig;Postfach 3223;;;;;102114819;;;
AOK Braunschweiger Land;101914702;;;;;;38300;Wolfenbüttel;Landeshüter Platz 1;38299;Wolöfenbüttel;Postfach 1163;;;;;102114819;;;
AOK Braunschweiger Land;101914724;;;;;;38640;Goslar;Odermarkplatz 2;38601;Goslar;Postfach 1106;;;;;102114819;;;
AOK Bremen/Bremerhaven;103119199;;;;;;28195;Bremen;Bürgermeister-Smid-Str. 95;28079;Bremen;Postfach 107963;;;;;103119199;;da@dta.aok.de;
AOK Bremervörde;102614095;;;;;;27432;Bremervörde;Neue Straße 45/46;27421;Bremervörde;Postfach 1163;;;;;102114819;;;
AOK Burgdorf;102114103;;;;;;31303;Burgdorf;Heinrichstrasse 29;31286;Burgdorf;Postfach 100161;;;;;102114819;;;
AOK Celle;102114114;;;;;;29221;Celle;Schloßplatz 11-12;29202;Celle;Postfach 1213;;;;;102114819;;;
AOK Cham;108916629;;;;;;93413;Cham;Goethestr. 15;93401;Cham;Postfach 1122;;;;;108310400;;;
AOK Coburg;108616535;;;;;;96450;Coburg;Gärtnersleite 14;96401;Coburg;Postfach 1153;;;;;108310400;;;
AOK Cuxhaven;102614142;;;;;;27474;Cuxhaven;Brahmsstr. 24;27451;Cuxhaven;Postfach 120;;;;;102114819;;;
AOK Deggendorf;109016325;;;;;;94469;Deggendorf;Bahnhofstrasse 94;94451;Deggendorf;Postfach 1120;;;;;108310400;;;
AOK Delmenhorst;102414151;;;;;;27749;Delmenhorst;Hans-Böckler-Platz 16;27731;Delmenhorst;Postfach 1142;;;;;102114819;;;
AOK Donauwörth;109116725;;;;;;86609;Donauwörth;Obermayerstrasse 6;86601;Donauwörth;Postfach 1154;;;;;108310400;;;
AOK Duderstadt;102014179;;;;;;37115;Duderstadt;Bahnhofstrasse 32;37106;Duderstadt;Postfach 1340;;;;;102114819;;;
AOK Einbeck-Northeim;102014180;;;;;;37154;Northeim;Wallstrasse 38;37141;Northeim;Postfach 1106;;;;;102114819;;;
AOK Elbe-Weser;102614585;;;;;;21680;Stade;Wiesenstr. 1/3;;;;;;;;102114819;;;
AOK Emden;101814197;;;;;;26721;Emden;Zwischen beiden Bleichen 1-3;26691;Emden;Postfach 1152;;;;;102114819;;;
AOK Erding;108516431;;;;;;85435;Erding;Friedrichstrasse 26;85421;Erding;Postfach 1165;;;;;108310400;;;
AOK Freising;108516442;;;;;;85354;Freising;Wippenhauser Str. 6;85311;Freising;Postfach 1141;;;;;108310400;;;
AOK Garmisch-P.-Weilheim;108516453;;;;;;82467;Garmisch-Partenkirchen;Hauptstrasse 88;;;;82451;Garmisch-Partenkirchen;;;108310400;;;
AOK Gesundheitskasse in Hessen;105110208;;;;;;65760;Eschborn;Kölner Str. 8;;;;;;;;105313145;;;
AOK Gifhorn-Helmstedt;101914212;;;;;;38518;Gifhorn;Schleusendamm 2;38501;Gifhorn;Postfach 1140;;;;;102114819;;;
AOK Grafschaft Bentheim;102514050;;;;;;48529;Nordhorn;Kanalweg 70;48501;Nordhorn;Postfach 1149;;;;;102114819;;;
AOK Grafschaft Diepholz;102714165;;;;;;49356;Diepholz;Niedersachsenstrasse 4;49342;Diepholz;Postfach 1260;;;;;102114819;;;
AOK Göttingen;102014226;;;;;;37081;Göttingen;Godehardstr. 24;37070;Göttingen;Postfach 1253;;;;;102114819;;;
AOK Günzburg;109116736;;;;;;89312;Günzburg;Jahnstrasse 6;89301;Günzburg;Postfach 1141;;;;;108310400;;;
AOK Halle;101197316;;;;;;06773;Gräfenhainichen;P.-Gerhard-Str. 16;;;;;;;;101097008;;;
AOK Hameln-Pyrmont;102114717;;;;;;31785;Hameln;Mertensplatz 1d;31763;Hameln;Postfach 101314;;;;;102114819;;;
AOK Hannover;102114261;;;;;;30173;Hannover;Hans-Böckler-Allee 30;30001;Hannover;Postfach 124;;;;;102114819;;;
AOK Heilbronn-Franken;108018325;;;;;;74072;Heilbronn;Allee 72;;;;;;;;108018007;;;
AOK Hessen;105213064;;;;;;65760;Eschborn;Kölnerstr. 8;65731;Eschborn;Postfach 5649;;;;;105313145;;;
AOK Hessen;105213097;;;;;;65760;Eschborn;Kölnerstr. 8;65731;Eschborn;Postfach 5649;;;;;105313145;;;
AOK Hessen;105213122;;;;;;65760;Eschborn;Kölnerstr. 8;65731;Eschborn;Postfach 5649;;;;;105313145;;;
AOK Hessen;105213188;;;;;;65760;Eschborn;Kölnerstr. 8;65731;Eschborn;Postfach 5649;;;;;105313145;;;
AOK Hessen;105313043;;;;;;65760;Eschborn;Kölnerstr. 8;65731;Eschborn;Postfach 5649;;;;;105313145;;;
AOK Hessen;105313145;;;;;;65760;Eschborn;Kölnerstr. 8;65731;Eschborn;Postfach 5649;;;;;105313145;;;
AOK Hessen;105313190;;;;;;65760;Eschborn;Kölnerstr. 8;65731;Eschborn;Postfach 5649;;;;;105313145;;;
AOK Hessen;105313247;;;;;;65760;Eschborn;Kölnerstr. 8;65731;Eschborn;Postfach 5649;;;;;105313145;;;
AOK Hessen;105413011;;;;;;65760;Eschborn;Kölnerstr. 8;65731;Eschborn;Postfach 5649;;;;;105313145;;;
AOK Hessen;105413113;;;;;;65760;Eschborn;Kölnerstr. 8;65731;Eschborn;Postfach 5649;;;;;105313145;;;
AOK Hessen;105413179;;;;;;35387;Gießen;Postfach 41120;;;;;;;;105313145;;;
AOK Hessen;105513023;;;;;;34497;Korbach;Am Hauptbahnhof 9a;;;;;;;;105313145;;;
AOK Hessen;105513034;;;;;;65760;Eschborn;Kölnerstr. 8;65731;Eschborn;Postfach 5649;;;;;105313145;;;
AOK Hessen;105513136;;;;;;65760;Eschborn;Kölnerstr. 8;65731;Eschborn;Postfach 5649;;;;;105313145;;;
AOK Hessen;105513158;;;;;;65760;Eschborn;Kölnerstr. 8;65731;Eschborn;Postfach 5649;;;;;105313145;;;
AOK Hessen;105513216;;;;;;65760;Eschborn;Kölnerstr. 8;65731;Eschborn;Postfach 5649;;;;;105313145;;;
AOK Hessen;105613273;;;;;;65760;Eschborn;Kölnerstr. 8;65731;Eschborn;Postfach 5649;;;;;105313145;;;
AOK Hessen;105713207;;;;;;65760;Eschborn;Kölnerstr. 8;65731;Eschborn;Postfach 5649;;;;;105313145;;;
AOK Hessen;105813300;;;;;;65760;Eschborn;Kölnerstr. 8;65731;Eschborn;Postfach 5649;;;;;105313145;;;
AOK Hildesheim;102214295;;;;;;31134;Hildesheim;Schützenallee 55-59;31102;Hildesheim;Postfach 100254;;;;;102114819;;;
AOK Hochrhein-Bodensee;107415596;;;;;;79761;Waldshut-Tiengen;Am Rheinfels 2;;;;;;;;108018007;;;
AOK Hof;108616546;;;;;;95030;Hof;Ernst-Reuter-Str. 117;95010;Hof;Postfach 1109;;;;;108310400;;;
AOK Holzminden;102014328;;;;;;37603;Holzminden;Südstraße 2;37591;Holzminden;Postfach 1151;;;;;102114819;;;
AOK Kaufbeuren-OAL;109116770;;;;;;87600;Kaufbeuren;Johannes Haag Str. 26;87571;Kaufbeuren;Postfach 1140;;;;;108310400;;;
AOK Kelheim;109016336;;;;;;93309;Kelheim;Schäfflerstr. 5;93301;Kelheim;Postfach 1152;;;;;108310400;;;
AOK Kempten-Oberallgäu;109116769;;;;;;87435;Kempten;Beethovenstr. 8;87402;Kempten;Postfach 1240;;;;;108310400;;;
AOK Kreis Ammerland;102414663;;;;;;26655;Westerstede;Schillerstraße 4;26641;Westerstede;Postfach 1140;;;;;102114819;;;
AOK Kreis Aurich;101814028;;;;;;26603;Aurich;Lambertistr. 16;26581;Aurich;Postfach 1160;;;;;102114819;;;
